"doc_id","text","ent_type","start_id","length","id"
"text1","Anniston","GPE",4,1,"44713482"
"text1","Anniston","GPE",4,1,"44713482"
"text1","Birmingham","GPE",5,1,"44537647"
"text1","Brent","GPE",4,1,"43089521"
"text1","San Tan Valley","GPE",4,3,"45089374"
"text1","Chinle","GPE",4,1,"45077979"
"text1","Tempe","GPE",4,1,"45015865"
"text1","Arizona","GPE",6,1,"45015865"
"text1","San Tan Valley","GPE",4,3,"45011064"
"text1","Phoenix","GPE",4,1,"44486016"
"text1","San Tan Valley","GPE",4,3,"44999017"
"text1","San Tan Valley","GPE",4,3,"44964993"
"text1","San Tan Valley","GPE",4,3,"44954333"
"text1","Arizona","GPE",17,1,"44883894"
"text1","San Tan Valley","GPE",4,3,"44819439"
"text1","Gallup","GPE",4,1,"44770595"
"text1","NM","GPE",6,1,"44770595"
"text1","Greasewood","GPE",4,1,"44718348"
"text1","Peoria","GPE",4,1,"44486019"
"text1","Tucson","GPE",4,1,"44486018"
"text1","Arizona","GPE",6,1,"44486018"
"text1","Tempe","GPE",4,1,"44664118"
"text1","Arizona","GPE",6,1,"44664118"
"text1","San Tan Valley","GPE",4,3,"44595859"
"text1","San Tan Valley","GPE",4,3,"44584411"
"text1","San Tan Valley","GPE",4,3,"44558560"
"text1","Tempe","GPE",4,1,"44486509"
"text1","Arizona","GPE",6,1,"44486509"
"text1","San Tan Valley","GPE",4,3,"44458947"
"text1","San Tan Valley","GPE",4,3,"44399750"
"text1","Tempe","GPE",4,1,"43883574"
"text1","San Tan Valley","GPE",4,3,"43754330"
"text1","Tucson","GPE",4,1,"43469177"
"text1","Tempe","GPE",4,1,"43303662"
"text1","San Tan Valley","GPE",4,3,"42844450"
"text1","San Tan Valley","GPE",4,3,"41053913"
"text1","San Tan Valley","GPE",4,3,"39689202"
"text1","San Tan Valley","GPE",4,3,"38648037"
"text1","San Tan Valley","GPE",4,3,"38443589"
"text1","Pine, AZ","GPE",4,3,"38308117"
"text1","Tucson","GPE",15,1,"37245046"
"text1","Tucson","GPE",14,1,"36691289"
"text1","Phoenix","GPE",23,1,"36691289"
"text1","Little Rock","GPE",4,2,"44755734"
"text1","Benton","GPE",4,1,"44682355"
"text1","Arkansas","GPE",4,1,"43477994"
"text1","Maumelle","GPE",7,1,"34738577"
"text1","San Francisco","GPE",12,2,"45106518"
"text1","San Francisco","GPE",12,2,"45015864"
"text1","California","GPE",4,1,"44521882"
"text1","States","GPE",25,1,"44521882"
"text1","San Francisco","GPE",12,2,"44463086"
"text1","San Francisco","GPE",12,2,"43438032"
"text1","Santa Rosa","GPE",5,2,"37939664"
"text1","US","GPE",8,1,"16313278"
"text1","Fresno","GPE",9,1,"9317153"
"text1","Denver","GPE",5,1,"44953336"
"text1","Denver","GPE",5,1,"41179812"
"text1","Denver","GPE",5,1,"40036107"
"text1","Connecticut","GPE",4,1,"45106891"
"text1","Kentucky","GPE",4,1,"45105826"
"text1","Connecticut","GPE",4,1,"45058945"
"text1","Connecticut","GPE",4,1,"45058962"
"text1","Connecticut","GPE",4,1,"45058978"
"text1","Connecticut","GPE",4,1,"45072805"
"text1","Connecticut","GPE",4,1,"45072665"
"text1","Astoria","GPE",4,1,"45072674"
"text1","Astoria","GPE",4,1,"45072609"
"text1","Astoria","GPE",4,1,"45071933"
"text1","Connecticut","GPE",4,1,"45070536"
"text1","Connecticut","GPE",4,1,"45070515"
"text1","Connecticut","GPE",4,1,"45059017"
"text1","Connecticut","GPE",4,1,"45059005"
"text1","Connecticut","GPE",4,1,"45059325"
"text1","Connecticut","GPE",4,1,"45069204"
"text1","Connecticut","GPE",4,1,"45068169"
"text1","CT]Meet","GPE",4,1,"45057627"
"text1","Astoria","GPE",4,1,"45042921"
"text1","Canton","GPE",4,1,"45041777"
"text1","Queens","GPE",4,1,"45024956"
"text1","Queens","GPE",4,1,"45024812"
"text1","Queens","GPE",4,1,"45024216"
"text1","Watertown","GPE",4,1,"45006447"
"text1","Astoria","GPE",4,1,"45003688"
"text1","Houston","GPE",4,1,"45002307"
"text1","Long Island","GPE",4,2,"44998793"
"text1","NY","GPE",7,1,"44998793"
"text1","Huntington","GPE",4,1,"44998013"
"text1","HUNTINGTON","GPE",4,1,"44986239"
"text1","Astoria","GPE",4,1,"44951718"
"text1","Astoria","GPE",4,1,"44951600"
"text1","Connecticut","GPE",4,1,"44928251"
"text1","Huntington","GPE",4,1,"44908317"
"text1","Alabama","GPE",7,1,"44906700"
"text1","Alabama","GPE",7,1,"44906513"
"text1","Alabama","GPE",7,1,"44906501"
"text1","Alabama","GPE",7,1,"44906474"
"text1","Alabama","GPE",7,1,"44906449"
"text1","Alabama","GPE",7,1,"44906405"
"text1","Alabama","GPE",7,1,"44906357"
"text1","Alabama","GPE",7,1,"44906301"
"text1","Alabama","GPE",7,1,"44906286"
"text1","Alabama","GPE",7,1,"44906273"
"text1","Alabama","GPE",7,1,"44906239"
"text1","Alabama","GPE",7,1,"44906212"
"text1","Houston","GPE",4,1,"44896177"
"text1","Astoria","GPE",4,1,"44867474"
"text1","Houston","GPE",4,1,"44857120"
"text1","Houston","GPE",4,1,"44857049"
"text1","Astoria","GPE",4,1,"44837375"
"text1","Louisiana","GPE",5,1,"44816388"
"text1","Astoria","GPE",4,1,"44809841"
"text1","Houston","GPE",4,1,"44807703"
"text1","Astoria","GPE",4,1,"44806198"
"text1","Houston","GPE",4,1,"44671707"
"text1","Houston","GPE",4,1,"44671687"
"text1","Huntington","GPE",4,1,"44622762"
"text1","Alabama","GPE",7,1,"44589720"
"text1","Alabama","GPE",7,1,"44582907"
"text1","Astoria","GPE",4,1,"44579129"
"text1","Alabama","GPE",7,1,"44572042"
"text1","Alabama","GPE",7,1,"44571808"
"text1","Houston","GPE",4,1,"44569543"
"text1","Houston","GPE",4,1,"44569527"
"text1","Houston","GPE",4,1,"44562421"
