"breed_primary","n"
"Labrador Retriever",314
"Chihuahua",147
"German Shepherd Dog",113
"Pit Bull Terrier",112
"Hound",101
"Shepherd",99
"Terrier",96
"Beagle",78
"Mixed Breed",72
"Australian Cattle Dog / Blue Heeler",55
"Boxer",54
"Dachshund",47
"American Staffordshire Terrier",40
"Border Collie",36
"Black Labrador Retriever",34
"American Bulldog",32
"Cattle Dog",32
"Jack Russell Terrier",30
"Rat Terrier",29
"Catahoula Leopard Dog",28
"Retriever",28
"Pointer",25
"Great Pyrenees",20
"Husky",20
"Shih Tzu",19
"Rottweiler",18
"Australian Shepherd",17
"Greyhound",17
"Jindo",16
"Mountain Dog",16
"Cairn Terrier",13
"Miniature Pinscher",13
"Poodle",13
"Akita",12
"Black Mouth Cur",12
"Pomeranian",12
"Staffordshire Bull Terrier",12
"Yorkshire Terrier",12
"Maltese",11
"Doberman Pinscher",10
"Mountain Cur",10
"Chocolate Labrador Retriever",9
"Cocker Spaniel",9
"Collie",9
"English Pointer",9
"Golden Retriever",9
"Saint Bernard",9
"Treeing Walker Coonhound",9
"Basset Hound",8
"Saluki",8
"Schnauzer",8
"Spaniel",8
"Anatolian Shepherd",7
"Bull Terrier",7
"Rhodesian Ridgeback",7
"Shar-Pei",7
"Whippet",7
"Australian Kelpie",6
"Belgian Shepherd / Malinois",6
"Canaan Dog",6
"Corgi",6
"Dalmatian",6
"Feist",6
"Pug",6
"Shiba Inu",6
"Wire Fox Terrier",6
"Basenji",5
"Chow Chow",5
"Coonhound",5
"Dutch Shepherd",5
"Fox Terrier",5
"Plott Hound",5
"Schipperke",5
"Siberian Husky",5
"Spitz",5
"Weimaraner",5
"Blue Lacy",4
"Brussels Griffon",4
"Dogo Argentino",4
"Foxhound",4
"Great Dane",4
"Standard Poodle",4
"Thai Ridgeback",4
"Wirehaired Terrier",4
"Airedale Terrier",3
"Bluetick Coonhound",3
"English Bulldog",3
"Galgo Spanish Greyhound",3
"Mastiff",3
"Papillon",3
"Parson Russell Terrier",3
"Silky Terrier",3
"Yellow Labrador Retriever",3
"Alaskan Malamute",2
"American Foxhound",2
"Bichon Frise",2
"Chesapeake Bay Retriever",2
"Curly-Coated Retriever",2
"English Coonhound",2
"Flat-Coated Retriever",2
"French Bulldog",2
"Havanese",2
"Ibizan Hound",2
"Miniature Poodle",2
"Pekingese",2
"Pharaoh Hound",2
"Redbone Coonhound",2
"Samoyed",2
"White German Shepherd",2
"American Water Spaniel",1
"Black and Tan Coonhound",1
"Bloodhound",1
"Boston Terrier",1
"Boykin Spaniel",1
"Bullmastiff",1
"Cane Corso",1
"Carolina Dog",1
"Cavalier King Charles Spaniel",1
"English Foxhound",1
"English Setter",1
"Finnish Spitz",1
"German Spitz",1
"Irish Terrier",1
"Leonberger",1
"Norfolk Terrier",1
"Norwegian Elkhound",1
"Norwich Terrier",1
"Presa Canario",1
"Scottish Terrier",1
"Sheep Dog",1
"Smooth Collie",1
"Tibetan Spaniel",1
"Tosa Inu",1
"Toy Fox Terrier",1
"West Highland White Terrier / Westie",1
"Xoloitzcuintli / Mexican Hairless",1
