breed_primary,n,file
Labrador Retriever,314,labrador
Chihuahua,147,chihuahua
German Shepherd Dog,113,german-shepherd
Pit Bull Terrier,112,pitbull
Hound,101,beagle
Shepherd,99,german-shepherd
Terrier,96,schnauzer
Beagle,78,beagle
Mixed Breed,72,mix
Australian Cattle Dog / Blue Heeler,55,australian-shepherd
Boxer,54,boxer
Dachshund,47,dachshund
American Staffordshire Terrier,40,pitbull
Border Collie,36,border-collie
Black Labrador Retriever,34,labrador
American Bulldog,32,bulldog
Cattle Dog,32,australian-shepherd
Jack Russell Terrier,30,jack-russell
Rat Terrier,29,jack-russell
Catahoula Leopard Dog,28,australian-shepherd
Retriever,28,golden-retriever
Pointer,25,pointer
Great Pyrenees,20,malamute
Husky,20,husky
Shih Tzu,19,shih-tzu
Rottweiler,18,rottweiler
Australian Shepherd,17,australian-shepherd
Greyhound,17,greyhound
Jindo,16,shiba-inu
Mountain Dog,16,german-shepherd
Cairn Terrier,13,scottish-terrier
Miniature Pinscher,13,miniature-pinscher
Poodle,13,poodle
Akita,12,akita
Black Mouth Cur,12,labrador
Pomeranian,12,pomeranian
Staffordshire Bull Terrier,12,pitbull
Yorkshire Terrier,12,yorkshire-terrier
Maltese,11,maltese
Doberman Pinscher,10,doberman
Mountain Cur,10,labrador
Chocolate Labrador Retriever,9,labrador
Cocker Spaniel,9,spaniel
Collie,9,border-collie
English Pointer,9,pointer
Golden Retriever,9,golden-retriever
Saint Bernard,9,st-bernard
Treeing Walker Coonhound,9,beagle
Basset Hound,8,basset
Saluki,8,greyhound
Schnauzer,8,schnauzer
Spaniel,8,spaniel
Anatolian Shepherd,7,german-shepherd
Bull Terrier,7,bull-terrier
Rhodesian Ridgeback,7,labrador
Shar-Pei,7,shar-pei
Whippet,7,greyhound
Australian Kelpie,6,german-shepherd
Belgian Shepherd / Malinois,6,german-shepherd
Canaan Dog,6,german-shepherd
Corgi,6,corgi
Dalmatian,6,dalmation
Feist,6,jack-russell
Pug,6,pug
Shiba Inu,6,shiba-inu
Wire Fox Terrier,6,fox-terrier
Basenji,5,shiba-inu
Chow Chow,5,chow
Coonhound,5,beagle
Dutch Shepherd,5,german-shepherd
Fox Terrier,5,fox-terrier
Plott Hound,5,labrador
Schipperke,5,shiba-inu
Siberian Husky,5,husky
Spitz,5,shiba-inu
Weimaraner,5,greyhound
Blue Lacy,4,labrador
Brussels Griffon,4,shih-tzu
Dogo Argentino,4,pitbull
Foxhound,4,beagle
Great Dane,4,great-dane
Standard Poodle,4,poodle
Thai Ridgeback,4,german-shepherd
Wirehaired Terrier,4,fox-terrier
Airedale Terrier,3,fox-terrier
Bluetick Coonhound,3,beagle
English Bulldog,3,bulldog
Galgo Spanish Greyhound,3,greyhound
Mastiff,3,mastiff
Papillon,3,chihuahua
Parson Russell Terrier,3,jack-russell
Silky Terrier,3,yorkshire-terrier
Yellow Labrador Retriever,3,labrador
Alaskan Malamute,2,malamute
American Foxhound,2,fox-terrier
Bichon Frise,2,bichon
Chesapeake Bay Retriever,2,labrador
Curly-Coated Retriever,2,labrador
English Coonhound,2,beagle
Flat-Coated Retriever,2,labrador
French Bulldog,2,french-bulldog
Havanese,2,shih-tzu
Ibizan Hound,2,greyhound
Miniature Poodle,2,poodle
Pekingese,2,shih-tzu
Pharaoh Hound,2,greyhound
Redbone Coonhound,2,beagle
Samoyed,2,husky
White German Shepherd,2,german-shepherd
American Water Spaniel,1,spaniel
Black and Tan Coonhound,1,beagle
Bloodhound,1,basset
Boston Terrier,1,boston-terrier
Boykin Spaniel,1,spaniel
Bullmastiff,1,mastiff
Cane Corso,1,pitbull
Carolina Dog,1,german-shepherd
Cavalier King Charles Spaniel,1,shih-tzu
English Foxhound,1,fox-terrier
English Setter,1,setter
Finnish Spitz,1,shiba-inu
German Spitz,1,shiba-inu
Irish Terrier,1,fox-terrier
Leonberger,1,mastiff
Norfolk Terrier,1,westie
Norwegian Elkhound,1,husky
Norwich Terrier,1,yorkshire-terrier
Presa Canario,1,pitbull
Scottish Terrier,1,scottish-terrier
Sheep Dog,1,sheepdog
Smooth Collie,1,collie
Tibetan Spaniel,1,spaniel
Tosa Inu,1,mastiff
Toy Fox Terrier,1,fox-terrier
West Highland White Terrier / Westie,1,westie
Xoloitzcuintli / Mexican Hairless,1,xoloitzcuintli
Italian Greyhound,,chihuahua
Manchester Terrier,,chihuahua
Wheaten Terrier,,schnauzer
Australian Terrier,,yorkshire-terrier
Chinese Crested Dog,,chinese-crested
Harrier,,beagle
English Shepherd,,australian-shepherd
German Shorthaired Pointer,,pointer
Lhasa Apso,,shih-tzu
Vizsla,,pointer
American Eskimo Dog,,malamute
Bearded Collie,,collie
Bernese Mountain Dog,,bernese
Border Terrier,,westie
Borzoi,,greyhound
Brittany Spaniel,,spaniel
Dogue de Bordeaux,,shar-pei
English Springer Spaniel,,spaniel
Eskimo Dog,,malamute
Irish Wolfhound,,greyhound
Japanese Chin,,shih-tzu
Miniature Schnauzer,,schnauzer
Patterdale Terrier / Fell Terrier,,westie
Pembroke Welsh Corgi,,corgi
Shetland Sheepdog / Sheltie,,collie
