"doc_id","text","ent_type","start_id","length","id"
"text1","Alabama","GPE",2,1,"45105051"
"text1","Alabama","GPE",2,1,"45105045"
"text1","Alabama","GPE",2,1,"45105046"
"text1","Alabama","GPE",2,1,"45105051"
"text1","Alabama","GPE",2,1,"45105045"
"text1","Alabama","GPE",2,1,"45105046"
"text1","Alabama","GPE",2,1,"45105047"
"text1","Alabama","GPE",2,1,"45105048"
"text1","Alabama","GPE",2,1,"45105049"
"text1","Alabama","GPE",2,1,"45105050"
"text1","Alabama","GPE",2,1,"45105054"
"text1","Wayne","GPE",2,1,"45097054"
"text1","Alabama","GPE",2,1,"45094589"
"text1","Alabama","GPE",2,1,"45094594"
"text1","Alabama","GPE",2,1,"45094592"
"text1","Alabama","GPE",2,1,"45094582"
"text1","Alabama","GPE",2,1,"45094583"
"text1","Alabama","GPE",2,1,"45094584"
"text1","Alabama","GPE",2,1,"45094585"
"text1","Alabama","GPE",2,1,"45094586"
"text1","Alabama","GPE",2,1,"45094587"
"text1","Alabama","GPE",2,1,"45094588"
"text1","Alabama","GPE",2,1,"45094591"
"text1","Alabama","GPE",2,1,"45094593"
"text1","Alabama","GPE",2,1,"45094595"
"text1","Alabama","GPE",2,1,"45077056"
"text1","Alabama","GPE",6,1,"45050401"
"text1","Russell County","GPE",2,2,"45043485"
"text1","Alabama","GPE",2,1,"45014229"
"text1","Alabama","GPE",2,1,"45014230"
"text1","Alabama","GPE",2,1,"45014232"
"text1","Alabama","GPE",2,1,"45008030"
"text1","Alabama","GPE",2,1,"45008031"
"text1","Alabama","GPE",2,1,"45008033"
"text1","Alabama","GPE",2,1,"45008035"
"text1","Alabama","GPE",2,1,"45008032"
"text1","Alabama","GPE",2,1,"45008024"
"text1","Alabama","GPE",2,1,"45008025"
"text1","Alabama","GPE",2,1,"45008026"
"text1","Alabama","GPE",2,1,"44989194"
"text1","Alabama","GPE",2,1,"44942887"
"text1","Alabama","GPE",2,1,"44931037"
"text1","Alabama","GPE",2,1,"44931034"
"text1","Alabama","GPE",2,1,"44852210"
"text1","Alabama","GPE",2,1,"44852207"
"text1","Alabama","GPE",2,1,"44843560"
"text1","Alabama","GPE",2,1,"44821932"
"text1","Alabama","GPE",2,1,"44821934"
"text1","Alabama","GPE",2,1,"44812222"
"text1","Alabama","GPE",2,1,"44812223"
"text1","Alabama","GPE",2,1,"44803026"
"text1","Alabama","GPE",2,1,"44797297"
"text1","Alabama","GPE",2,1,"44797298"
"text1","Alabama","GPE",2,1,"44797303"
"text1","Alabama","GPE",2,1,"44789034"
"text1","Alabama","GPE",2,1,"44789038"
"text1","Alabama","GPE",2,1,"44789029"
"text1","Alabama","GPE",2,1,"44789037"
"text1","Alabama","GPE",6,1,"44756438"
"text1","Alabama","GPE",2,1,"44741167"
"text1","Alabama","GPE",2,1,"44681996"
"text1","Alabama","GPE",2,1,"44675537"
"text1","Alabama","GPE",2,1,"44640753"
"text1","Alabama","GPE",2,1,"44518908"
"text1","Alabama","GPE",2,1,"44509356"
"text1","Alabama","GPE",2,1,"44446147"
"text1","Alabama","GPE",2,1,"44429318"
"text1","Alabama","GPE",2,1,"44064600"
"text1","Birmingham","GPE",4,1,"43710271"
"text1","Tucson","GPE",4,1,"45107176"
"text1","Texas","GPE",2,1,"45100816"
"text1","Arizona","GPE",4,1,"45082249"
"text1","Maricopa County","GPE",2,2,"45053395"
"text1","County","GPE",2,1,"45053402"
"text1","Texas","GPE",2,1,"45026074"
"text1","Petsmart","GPE",2,1,"45024417"
"text1","Petsmart","GPE",2,1,"45024416"
"text1","Petsmart","GPE",2,1,"45024420"
"text1","Petsmart","GPE",2,1,"45024421"
"text1","Petsmart","GPE",2,1,"45024418"
"text1","Texas","GPE",2,1,"44996189"
"text1","Tucson","GPE",4,1,"44968554"
"text1","California","GPE",2,1,"44868939"
"text1","Tijuana","GPE",5,1,"44868649"
"text1","Mexico","GPE",7,1,"44868649"
"text1","California","GPE",6,1,"44868347"
"text1","Mexico","GPE",2,1,"44809963"
"text1","Mexico","GPE",2,1,"44809953"
"text1","Mexico","GPE",2,1,"44809952"
"text1","Mexico","GPE",2,1,"44809946"
"text1","Mexico","GPE",2,1,"44809939"
"text1","Pinal County","GPE",5,2,"44803845"
"text1","County","GPE",2,1,"44755548"
"text1","Tijuana","GPE",2,1,"44731887"
"text1","Mexico","GPE",4,1,"44731887"
"text1","Maricopa County","GPE",3,2,"44663800"
"text1","South Carolina","GPE",2,2,"44628831"
"text1","Phoenix","GPE",6,1,"44358847"
"text1","West County","GPE",3,2,"44358805"
"text1","Texas","GPE",6,1,"43979294"
"text1","NM","GPE",2,1,"43891211"
"text1","Saudi Arabia","GPE",2,2,"43774052"
