"id","breed_primary","breed_secondary","age","sex","name","size","original_state","final_state","file"
44520267,"Miniature Schnauzer",,"Adult","Male","Boris","Small","Arkansas","Minnesota","schnauzer"
44698509,"Labrador Retriever","German Shepherd Dog","Young","Male","Duke","Medium","Bahamas","Florida","labrador"
43877389,"Shepherd",,"Adult","Female","Palang","Large","Afghanistan","Colorado","german-shepherd"
43082511,"Saluki","Greyhound","Adult","Female","Brooke","Large","Afghanistan","Connecticut","greyhound"
44740613,"Husky","Labrador Retriever","Young","Male","Sparky","Medium","Alabama","Colorado","husky"
44739540,"Husky","Labrador Retriever","Young","Male","Sparky","Medium","Alabama","Colorado","husky"
46026256,"Australian Cattle Dog / Blue Heeler",,"Baby","Male","Archie","Medium","Alabama","New York","australian-shepherd"
46016066,"Beagle",,"Baby","Female","Cassie","Medium","Alabama","New Jersey","beagle"
46016034,"Beagle",,"Baby","Female","Chloe","Medium","Alabama","New Jersey","beagle"
45985897,"Labrador Retriever",,"Baby","Female","Bess","Medium","Alabama","New York","labrador"
45985898,"Labrador Retriever",,"Baby","Female","Tess","Medium","Alabama","New York","labrador"
45985546,"Beagle",,"Baby","Male","Stanley","Medium","Alabama","New York","beagle"
45963904,"Shepherd",,"Young","Female","Ria","Medium","Alabama","Connecticut","german-shepherd"
45923207,"Border Collie",,"Baby","Male","Ben","Medium","Alabama","New Jersey","border-collie"
45922934,"Beagle",,"Baby","Male","Chance","Medium","Alabama","New Jersey","beagle"
45787945,"Labrador Retriever",,"Young","Male","Scout","Large","Alabama","New York","labrador"
45709422,"Pit Bull Terrier",,"Young","Male","Wheezy","Medium","Alabama","New York","pitbull"
45491612,"Black Labrador Retriever","German Shepherd Dog","Baby","Female","Kiara","Medium","Alabama","New Jersey","labrador"
45491535,"Labrador Retriever",,"Baby","Female","Sally","Large","Alabama","New Jersey","labrador"
45491398,"Labrador Retriever",,"Baby","Female","Stella","Medium","Alabama","New Jersey","labrador"
45463374,"American Bulldog",,"Baby","Male","Sammy","Large","Alabama","New York","bulldog"
45374450,"Hound",,"Senior","Female","Hope","Large","Alabama","Connecticut","beagle"
45369965,"Feist",,"Young","Female","Madison","Medium","Alabama","New York","jack-russell"
45358574,"Shepherd",,"Adult","Female","Chanelle","Medium","Alabama","New York","german-shepherd"
45347634,"Great Pyrenees",,"Young","Male","Morrison","Large","Alabama","New York","malamute"
45347636,"Husky",,"Adult","Female","Sofie","Large","Alabama","New York","husky"
45318811,"Shepherd",,"Young","Female","Shari","Large","Alabama","New York","german-shepherd"
44669068,"Pit Bull Terrier","Mixed Breed","Adult","Female","Addison","Medium","Alabama","New York","pitbull"
44403673,"Labrador Retriever",,"Adult","Male","Trek","Medium","Alabama","New Jersey","labrador"
44391932,"Dachshund",,"Adult","Male","Thor","Small","Alabama","New York","dachshund"
44247112,"Australian Shepherd",,"Young","Female","Harmony","Medium","Alabama","New York","australian-shepherd"
42662787,"Mixed Breed",,"Young","Male","Luke","Large","Alabama","New York","mix"
39777150,"Hound",,"Adult","Male","Ernie","Medium","Alabama","New Jersey","beagle"
33675085,"Black Labrador Retriever",,"Adult","Female","Meredith","Medium","Alabama","New York","labrador"
46005034,"American Bulldog","Terrier","Young","Male","Thor B","Medium","Alabama","Maryland","bulldog"
45981200,"Beagle",,"Young","Female","Lucy B","Small","Alabama","Maryland","beagle"
45980962,"Australian Terrier","Yorkshire Terrier","Adult","Female","Izzy B","Small","Alabama","Maryland","yorkshire-terrier"
45980961,"Australian Shepherd","American Bulldog","Young","Female","Maggie B","Large","Alabama","Maryland","australian-shepherd"
45980908,"German Shepherd Dog","Labrador Retriever","Young","Male","Hank B","Medium","Alabama","Maryland","german-shepherd"
45947103,"Dachshund",,"Young","Female","Kyra B","Small","Alabama","Maryland","dachshund"
45947074,"Chihuahua",,"Adult","Female","Brinlee B Lap girl","Small","Alabama","Maryland","chihuahua"
45947041,"Basenji","Border Collie","Baby","Female","Paisley B","Medium","Alabama","Maryland","shiba-inu"
45946873,"Shepherd","Labrador Retriever","Baby","Male","Knobi B","Medium","Alabama","Maryland","german-shepherd"
45946740,"German Shepherd Dog",,"Baby","Female","Peanut Butter Fudge B","Medium","Alabama","Maryland","german-shepherd"
45942818,"Dachshund",,"Adult","Female","Reba","Small","Alabama","Maryland","dachshund"
45942311,"Labrador Retriever","Hound","Young","Male","Moric","Medium","Alabama","Maryland","labrador"
45941986,"Chihuahua",,"Adult","Male","Bert   Loves to snuggle!!","Small","Alabama","Maryland","chihuahua"
45941733,"Chihuahua",,"Adult","Female","Gypsy Girl","Small","Alabama","Maryland","chihuahua"
45886367,"Labrador Retriever","Terrier","Baby","Female","Pepper B","Medium","Alabama","Maryland","labrador"
45886232,"Bloodhound","Black and Tan Coonhound","Baby","Female","Roxie B","Medium","Alabama","Maryland","basset"
45874592,"German Shepherd Dog","Mixed Breed","Baby","Female","Peanut butter Fugde..B","Medium","Alabama","Maryland","german-shepherd"
45864238,"Labrador Retriever","Golden Retriever","Young","Male","Aiden B","Medium","Alabama","Maryland","labrador"
45863033,"Chihuahua",,"Young","Female","Pippin B","Small","Alabama","Maryland","chihuahua"
45862802,"Chihuahua",,"Young","Male","Lamb chop B","Small","Alabama","Maryland","chihuahua"
45856155,"Dachshund",,"Young","Male","Greer B","Small","Alabama","Maryland","dachshund"
45852503,"Cattle Dog","Beagle","Baby","Male","Ponce B","Medium","Alabama","Maryland","australian-shepherd"
45851317,"Golden Retriever","Labrador Retriever","Baby","Female","Misha B","Medium","Alabama","Maryland","golden-retriever"
45833873,"Hound","Labrador Retriever","Baby","Male","Dallas B","Medium","Alabama","Maryland","beagle"
45800872,"Brussels Griffon","Chihuahua","Baby","Female","Zelda","Medium","Alabama","Maryland","shih-tzu"
45800716,"Chihuahua",,"Baby","Male","Loki","Small","Alabama","Maryland","chihuahua"
45795614,"Chihuahua",,"Baby","Female","Daisey","Small","Alabama","Maryland","chihuahua"
45795550,"Chihuahua",,"Baby","Female","Maxine","Small","Alabama","Maryland","chihuahua"
45795183,"Chihuahua","Corgi","Adult","Male","Mr. Pearson","Small","Alabama","Maryland","chihuahua"
45782875,"German Shepherd Dog","Great Pyrenees","Baby","Male","Leif B","Large","Alabama","Maryland","german-shepherd"
45782430,"American Bulldog","English Bulldog","Baby","Male","Bullfrog B","Medium","Alabama","Maryland","bulldog"
45782176,"Cattle Dog","American Bulldog","Baby","Female","Bell B","Medium","Alabama","Maryland","australian-shepherd"
45758856,"Chihuahua","Rat Terrier","Baby","Male","Scooter B 6lbs. Lap baby","Small","Alabama","Maryland","chihuahua"
45743606,"Hound","Labrador Retriever","Young","Male","Jimbo B Sweet boy","Medium","Alabama","Maryland","beagle"
45735782,"Labrador Retriever","Spaniel","Baby","Female","Eerie","Medium","Alabama","Maryland","labrador"
45734955,"Shepherd","Hound","Adult","Female","Pudding","Medium","Alabama","Maryland","german-shepherd"
45717652,"Chihuahua","Dachshund","Baby","Male","Tiny Tim 5lbs","Medium","Alabama","Maryland","chihuahua"
45704612,"Chihuahua","Terrier","Baby","Female","Bristol B 6lbs of love","Small","Alabama","Maryland","chihuahua"
45697318,"Labrador Retriever",,"Young","Female","Rihanna B sweet girl","Medium","Alabama","Maryland","labrador"
45696774,"Flat-Coated Retriever","Labrador Retriever","Young","Male","Maxwell B great boy","Medium","Alabama","Maryland","labrador"
45612428,"Labrador Retriever","Cattle Dog","Young","Female","Mackenzie  B","Medium","Alabama","Maryland","labrador"
45596351,"Labrador Retriever","Shepherd","Baby","Female","Aliena","Medium","Alabama","Maryland","labrador"
45593642,"Hound","Spaniel","Baby","Female","Kypsie","Large","Alabama","Pennsylvania","beagle"
45593610,"Labrador Retriever","Hound","Baby","Male","Hank","Large","Alabama","Pennsylvania","labrador"
45593571,"Hound","Terrier","Baby","Male","Edge","Medium","Alabama","Pennsylvania","beagle"
45593515,"Hound","Terrier","Baby","Male","Clyde","Large","Alabama","Pennsylvania","beagle"
45583504,"Labrador Retriever","Shepherd","Baby","Female","Alicia","Medium","Alabama","Maryland","labrador"
45578440,"Australian Shepherd","Border Collie","Baby","Female","Leeya","Medium","Alabama","Maryland","australian-shepherd"
45577835,"Chihuahua",,"Young","Male","Saber B 8 lbs","Small","Alabama","Maryland","chihuahua"
45577834,"Terrier","Chihuahua","Baby","Female","Amia B 10lbs.","Medium","Alabama","Maryland","schnauzer"
45571242,"Labrador Retriever","Shepherd","Baby","Male","Spencer","Medium","Alabama","Maryland","labrador"
45555304,"Husky","Beagle","Young","Female","Pretty B","Medium","Alabama","Maryland","husky"
45554432,"Shepherd","Mountain Cur","Baby","Female","Octavia B","Medium","Alabama","Maryland","german-shepherd"
45554240,"German Shepherd Dog","Beagle","Baby","Female","Marina B","Medium","Alabama","Maryland","german-shepherd"
45554172,"Labrador Retriever","Shepherd","Baby","Female","Kaitlyn B","Medium","Alabama","Maryland","labrador"
45519978,"Black Labrador Retriever",,"Baby","Male","Drew B","Medium","Alabama","Maryland","labrador"
45507117,"Dogue de Bordeaux","American Bulldog","Young","Male","Carter","Medium","Alabama","Pennsylvania","shar-pei"
45502376,"Maltese","Terrier","Young","Male","Troyce B","Small","Alabama","Maryland","maltese"
45396391,"Hound","Rhodesian Ridgeback","Baby","Male","Chuck","Medium","Alabama","Maryland","beagle"
45389196,"Labrador Retriever","Cattle Dog","Young","Male","Hero B","Medium","Alabama","Maryland","labrador"
45384575,"Labrador Retriever",,"Baby","Female","Birdie","Large","Alabama","Maryland","labrador"
45384513,"Labrador Retriever",,"Baby","Female","Alawna","Medium","Alabama","Maryland","labrador"
45373215,"Australian Cattle Dog / Blue Heeler",,"Adult","Female","Bunjee B","Medium","Alabama","Maryland","australian-shepherd"
45373166,"Australian Shepherd",,"Young","Female","Conja B","Medium","Alabama","Maryland","australian-shepherd"
45361631,"Labrador Retriever",,"Baby","Female","Addison B","Medium","Alabama","Maryland","labrador"
45340773,"Labrador Retriever","Terrier","Young","Male","Drizzle B","Medium","Alabama","Maryland","labrador"
45333936,"Chihuahua",,"Young","Female","Sagen B","Small","Alabama","Maryland","chihuahua"
45309050,"Retriever",,"Baby","Male","Hoss","Medium","Alabama","Maryland","golden-retriever"
45295935,"Labrador Retriever","Spaniel","Baby","Female","Jackie    A Sweetie!!!","Medium","Alabama","Maryland","labrador"
45295259,"Cairn Terrier","Labrador Retriever","Young","Female","Gabbie B","Medium","Alabama","Maryland","scottish-terrier"
45295174,"Labrador Retriever","Border Collie","Baby","Female","Bella B lower fee","Medium","Alabama","Maryland","labrador"
45175101,"Husky","Cattle Dog","Young","Male","Andy B great boy","Medium","Alabama","Maryland","husky"
45175036,"Chihuahua","Miniature Pinscher","Adult","Male","Rebel","Small","Alabama","Maryland","chihuahua"
45174934,"Chihuahua","Dachshund","Baby","Male","Buckaroo","Medium","Alabama","Maryland","chihuahua"
45161580,"Shar-Pei","Labrador Retriever","Adult","Female","Wig","Medium","Alabama","Maryland","shar-pei"
45116943,"Black Labrador Retriever","Shepherd","Young","Male","Dale B Loves water LOWER FEE","Medium","Alabama","Maryland","labrador"
45090568,"Australian Cattle Dog / Blue Heeler","Shepherd","Adult","Male","Wiley","Medium","Alabama","Maryland","australian-shepherd"
45086978,"Labrador Retriever",,"Young","Male","Peyton B lower fee","Medium","Alabama","Maryland","labrador"
45086052,"Cattle Dog",,"Young","Male","Rogan B","Medium","Alabama","Maryland","australian-shepherd"
45066583,"Labrador Retriever",,"Baby","Female","Lulabell","Medium","Alabama","Virginia","labrador"
45003858,"Labrador Retriever",,"Young","Female","Rosalind B sweet soul","Medium","Alabama","Maryland","labrador"
45002799,"Beagle",,"Young","Female","Ventura B lower fee","Small","Alabama","Maryland","beagle"
44846646,"Black Labrador Retriever",,"Young","Male","Woody B","Medium","Alabama","Maryland","labrador"
44844312,"Chihuahua",,"Adult","Male","Hansel","Small","Alabama","Maryland","chihuahua"
44809477,"German Shepherd Dog",,"Young","Male","Bailey R","Medium","Alabama","Maryland","german-shepherd"
44425828,"American Bulldog","Labrador Retriever","Young","Male","Jackson B","Large","Alabama","Maryland","bulldog"
44204368,"Labrador Retriever","Terrier","Young","Female","Wanda B lower fee","Medium","Alabama","Maryland","labrador"
43880580,"Beagle",,"Young","Female","Susy *Adopt or Foster *","Medium","Alabama","Virginia","beagle"
43632789,"Catahoula Leopard Dog",,"Adult","Female","Mya - location, Bath, NY","Medium","Alabama","Pennsylvania","australian-shepherd"
43143426,"Hound","Labrador Retriever","Adult","Female","Annabelle B Lower fee","Medium","Alabama","Maryland","beagle"
42564378,"Labrador Retriever",,"Young","Male","Gunner B lower fee","Medium","Alabama","Maryland","labrador"
46022142,"Border Collie","Shepherd","Baby","Male","Dexter","Medium","Alabama","Pennsylvania","border-collie"
46022141,"Labrador Retriever","Border Collie","Baby","Female","Dawn","Medium","Alabama","Pennsylvania","labrador"
46018770,"Border Collie","Shepherd","Baby","Male","Diego","Medium","Alabama","Pennsylvania","border-collie"
45987770,"German Shepherd Dog","Hound","Young","Male","Hank B","Medium","Alabama","Pennsylvania","german-shepherd"
45987736,"Australian Shepherd","American Bulldog","Young","Female","Maggie B","Medium","Alabama","Pennsylvania","australian-shepherd"
45987713,"Australian Terrier","Yorkshire Terrier","Young","Female","Izzy B","Small","Alabama","Pennsylvania","yorkshire-terrier"
45987675,"Beagle",,"Young","Female","Lucy B","Medium","Alabama","Pennsylvania","beagle"
45974091,"Chihuahua","Pit Bull Terrier","Baby","Female","Trixie","Medium","Alabama","Pennsylvania","chihuahua"
45957260,"English Pointer",,"Adult","Female","Shannon (NY)","Large","Alabama","New Jersey","pointer"
45947082,"Dachshund",,"Young","Female","Kyra B","Small","Alabama","Pennsylvania","dachshund"
45947054,"Chihuahua",,"Adult","Female","Brinlee B lap girl","Small","Alabama","Pennsylvania","chihuahua"
45946882,"Basenji","Border Collie","Baby","Female","Paisley B","Medium","Alabama","Pennsylvania","shiba-inu"
45946816,"Shepherd","Labrador Retriever","Baby","Male","Knobi B","Medium","Alabama","Pennsylvania","german-shepherd"
45942787,"Dachshund",,"Adult","Female","Reba","Small","Alabama","Pennsylvania","dachshund"
45942234,"Labrador Retriever","Hound","Young","Male","Moric","Medium","Alabama","Pennsylvania","labrador"
45941779,"Chihuahua",,"Adult","Male","Bert   Loves to snuggle!","Small","Alabama","Pennsylvania","chihuahua"
45941515,"Chihuahua",,"Adult","Female","Gypsy Girl","Small","Alabama","Pennsylvania","chihuahua"
45924872,"Weimaraner","Hound","Baby","Female","Rosie","Medium","Alabama","Pennsylvania","greyhound"
45924871,"Weimaraner","Hound","Baby","Female","Rylie","Medium","Alabama","Pennsylvania","greyhound"
45924870,"Weimaraner","Hound","Baby","Female","Rajah","Medium","Alabama","Pennsylvania","greyhound"
45924873,"Weimaraner","Hound","Baby","Male","Ringo","Medium","Alabama","Pennsylvania","greyhound"
45917804,"Weimaraner","Hound","Baby","Female","Remy","Medium","Alabama","Pennsylvania","greyhound"
