"id","breed_primary","breed_secondary","age","sex","name","original_state","final_state","size","n","file"
"45097054","Dalmatian","Labrador Retriever","Baby","Female","Arya","New Jersey","Alabama","Medium",6,"dalmation"
"45100816","Dachshund","Jack Russell Terrier","Adult","Female","Dona Marie","Texas","Arizona","Medium",47,"dachshund"
"45026074","Dalmatian",,"Young","Female","Gypsy","Texas","Arizona","Large",6,"dalmation"
"44996189","American Staffordshire Terrier","Mixed Breed","Adult","Male","Lockevelt","Texas","Arizona","Large",40,"pitbull"
"44868939","German Shepherd Dog",,"Adult","Female","Maya","California","Arizona","Large",113,"german-shepherd"
"44868649","Cocker Spaniel",,"Adult","Male","BLAZE2","Mexico","Arizona","Small",9,"spaniel"
"44868347","Cocker Spaniel",,"Young","Male","TOBY4","California","Arizona","Small",9,"spaniel"
"44809963","Border Collie",,"Baby","Female","Eclipse","Mexico","Arizona","Medium",36,"border-collie"
"44809953","Border Collie",,"Baby","Female","Juicy","Mexico","Arizona","Medium",36,"border-collie"
"44809952","Border Collie",,"Baby","Male","Orbit","Mexico","Arizona","Medium",36,"border-collie"
"44809946","Border Collie",,"Baby","Male","Hubba Bubba","Mexico","Arizona","Medium",36,"border-collie"
"44809939","Border Collie",,"Baby","Male","Wrigley","Mexico","Arizona","Medium",36,"border-collie"
"44770595","Collie","German Shepherd Dog","Adult","Male","Brownie","New Mexico","Arizona","Medium",9,"border-collie"
"44628831","Beagle",,"Adult","Male","Buchanan","South Carolina","Arizona","Large",78,"beagle"
"43979294","Akita",,"Adult","Male","NIKO","Texas","Arizona","Large",12,"akita"
"43891211","Bullmastiff",,"Young","Male","Freddie","New Mexico","Arizona","Large",1,"mastiff"
"43774052","Pharaoh Hound","Labrador Retriever","Adult","Female","Tinkerbell","Saudi Arabia","Arizona","Small",2,"greyhound"
"41655318","Terrier","Chihuahua","Young","Male","TIMMY 2","Mexico","Arizona","Small",96,"schnauzer"
