"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45107423","WI510","https://www.petfinder.com/dog/pier-45107423/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Poodle","Terrier",TRUE,"FALSE","White / Cream",NA,NA,"Senior","Male","Small","Medium",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Pier","*****Available July 14

At ten years young, Pier is ready to show you just exactly how much life is still...","calm|friendly|loving","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107423/1/?bust=1561738282","adoptable","2019-06-28T16:18:03+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45107358","WI523","https://www.petfinder.com/dog/goose-45107358/wi/alma/tails-of-hope-animal-rescue-wi523/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Wirehaired Pointing Griffon",TRUE,"FALSE","Black",NA,NA,"Baby","Male","Large","Wire",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Goose","Duck… duck… GOOSE! Who’s ready to play with this guy? If you’re looking for a bigger guy, Goose if your...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107358/1/?bust=1561738106","adoptable","2019-06-28T16:10:01+0000","Alma","WI","54610","US","WI",2019-06-28
"45107257","WI510","https://www.petfinder.com/dog/taran-45107257/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shepherd",NA,TRUE,"FALSE","Brindle",NA,NA,"Baby","Male","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Taran","****Available July 14

At 8 weeks old, Taran is a ten pound ball of German Shepherd fun and love.  He&#039;s...","intelligent|playful|fun","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107257/3/?bust=1561735925","adoptable","2019-06-28T15:45:41+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45107186","WI510","https://www.petfinder.com/dog/tommy-45107186/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Border Collie","Terrier",TRUE,"FALSE","White / Cream","Yellow / Tan / Blond / Fawn",NA,"Baby","Male","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Tommy","*****Available July 14

Holy Schnike!! It&#039;s Tommy Boy!
This is NOT a fat guy in a little coat! It&#039;s an...","loving|friendly","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107186/1/?bust=1561735213","adoptable","2019-06-28T15:29:53+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45107123","WI510","https://www.petfinder.com/dog/tamara-45107123/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,TRUE,"FALSE",NA,NA,NA,"Baby","Female","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Tamara","****Available July 14

Fuzzy little Tamara is currently a seven week old ball of puppy fun and love. All six...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107123/2/?bust=1561734189","adoptable","2019-06-28T15:09:19+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45107001","WI510","https://www.petfinder.com/dog/teo-45107001/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shepherd",NA,TRUE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Baby","Female","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Teo","****Available July 14

Meet Teo!

Though female, Teo could not have been more aptly named. &quot;Gift of God&quot;.

Teo knows...","cute|intelligent|trainable","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107001/2/?bust=1561732825","adoptable","2019-06-28T14:57:24+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45106972","WI510","https://www.petfinder.com/dog/gambit-45106972/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","American Staffordshire Terrier",TRUE,"FALSE","Brown / Chocolate",NA,NA,"Young","Male","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Gambit","***Available July 14

Don&#039;t let these wild eyes fool you! Gambit is a shy treasure and sure to turn heads...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106972/1/?bust=1561732262","adoptable","2019-06-28T14:37:17+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45106952","WI72","https://www.petfinder.com/dog/sam-45106952/wi/appleton/fox-valley-humane-association-wi72/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Cocker Spaniel",NA,FALSE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Senior","Male","Medium","Long",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Sam","Cocker Spaniel
9 Years old
Neutered Male
Adoption fee: $50

Sam was brought to FVHA as an owner surrender. He...","loving|happy|playful|cuddly","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106952/1/?bust=1561731852","adoptable","2019-06-28T14:34:31+0000","Appleton","WI","54914","US","WI",2019-06-28
"45106933","WI510","https://www.petfinder.com/dog/mystique-45106933/wi/onalaska/stray-souls-animal-rescue-wi510/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","American Staffordshire Terrier",TRUE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Young","Female","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Mystique","****Available July 14

If you&#039;re looking for a dog that has it all, you clicked the right link. Mystique is...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106933/2/?bust=1561731521","adoptable","2019-06-28T14:27:37+0000","Onalaska","WI","54650","US","WI",2019-06-28
"45106910","WI72","https://www.petfinder.com/dog/kendra-45106910/wi/appleton/fox-valley-humane-association-wi72/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chow Chow","Mixed Breed",TRUE,"FALSE","Red / Chestnut / Orange",NA,NA,"Adult","Female","Medium","Long",TRUE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,NA,"Kendra","Chow Chow Mix
3 Years old
Spayed Female
Adoption fee: $275

Kendra was brought to FVHA as an owner surrender....","shy|loving|happy","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106910/1/?bust=1561730957","adoptable","2019-06-28T14:21:49+0000","Appleton","WI","54914","US","WI",2019-06-28
"45106864","WI72","https://www.petfinder.com/dog/moe-45106864/wi/appleton/fox-valley-humane-association-wi72/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Schnauzer","Mixed Breed",TRUE,"FALSE","Gray / Blue / Silver","White / Cream",NA,"Young","Male","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,TRUE,"Moe","Schnauzer Mix
1 Year old
Neutered Male
Adoption fee: $300

Moe was brought to FVHA as an owner surrender. He...","loving|shy|excited","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106864/1/?bust=1561729895","adoptable","2019-06-28T14:00:23+0000","Appleton","WI","54914","US","WI",2019-06-28
"45106150","WI256","https://www.petfinder.com/dog/mercy-miss-momma-f-45106150/wi/sun-prairie/a-dot-rv-dot-ss-wi256/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Corgi",NA,TRUE,"FALSE",NA,NA,NA,"Adult","Female","Medium",NA,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Mercy, Miss Momma (F)","Hi, I’m Mercy.  I’m roughly 4 years old and am a medium mix.  My foster family says I’m an incredibly...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106150/1/?bust=1561686274","adoptable","2019-06-28T01:46:19+0000","Sun Prairie","WI","53590","US","WI",2019-06-28
"45105954","WI34","https://www.petfinder.com/dog/mario-45105954/wi/neillsville/clark-county-humane-society-wi34/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Border Collie",NA,FALSE,"FALSE","Black","White / Cream",NA,"Baby","Male","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Mario","Hi, my name is Mario! I am a Border Collie mix that was born on a local farm. I was...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105954/1/?bust=1561681602","adoptable","2019-06-28T00:27:21+0000","Neillsville","WI","54456","US","WI",2019-06-28
"45105938","WI34","https://www.petfinder.com/dog/marcie-45105938/wi/neillsville/clark-county-humane-society-wi34/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Border Collie",NA,FALSE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Baby","Female","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Marcie","Hi, my name is Marcie! I am a Border Collie mix that was born on a local farm. I was...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105938/1/?bust=1561681400","adoptable","2019-06-28T00:24:17+0000","Neillsville","WI","54456","US","WI",2019-06-28
"45105928","WI34","https://www.petfinder.com/dog/rylee-45105928/wi/neillsville/clark-county-humane-society-wi34/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Australian Cattle Dog / Blue Heeler",NA,FALSE,"FALSE","Black","White / Cream",NA,"Baby","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Rylee","Hi, my name is Rylee! I am an Australian Cattle Dog mix that was born on a local farm. I...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105928/1/?bust=1561681117","adoptable","2019-06-28T00:19:29+0000","Neillsville","WI","54456","US","WI",2019-06-28
"45105921","WI34","https://www.petfinder.com/dog/ryder-45105921/wi/neillsville/clark-county-humane-society-wi34/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Australian Cattle Dog / Blue Heeler",NA,FALSE,"FALSE","Black","White / Cream",NA,"Baby","Male","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Ryder","Hi, my name is Ryder! I am an Australian Cattle Dog mix that was born on a local farm. I...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105921/2/?bust=1561689344","adoptable","2019-06-28T00:17:37+0000","Neillsville","WI","54456","US","WI",2019-06-28
"45105912","WI34","https://www.petfinder.com/dog/ruby-45105912/wi/neillsville/clark-county-humane-society-wi34/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Australian Cattle Dog / Blue Heeler",NA,FALSE,"FALSE","Red / Chestnut / Orange","White / Cream",NA,"Baby","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Ruby","Hi, my name is Ruby! I am an Australian Cattle Dog mix that was born on a local farm. I...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105912/1/?bust=1561680847","adoptable","2019-06-28T00:14:40+0000","Neillsville","WI","54456","US","WI",2019-06-28
"45105904","WI34","https://www.petfinder.com/dog/reba-45105904/wi/neillsville/clark-county-humane-society-wi34/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Australian Cattle Dog / Blue Heeler",NA,FALSE,"FALSE","Red / Chestnut / Orange","White / Cream",NA,"Baby","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Reba","Hi, my name is Reba! I am an Australian Cattle Dog mix that was born on a local farm. I...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105904/1/?bust=1561680636","adoptable","2019-06-28T00:11:10+0000","Neillsville","WI","54456","US","WI",2019-06-28
