"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45107346","PA492","https://www.petfinder.com/dog/peanut-45107346/pa/radnor/francisvale-home-for-smaller-animals-pa492/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Terrier",NA,FALSE,"FALSE","White / Cream",NA,NA,"Adult","Female","Small","Wire",TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Peanut","Super sweet and snuggly Peanut is looking for a new home.  She was found as a stray, Francisvale took her...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107346/4/?bust=1561737902","adoptable","2019-06-28T16:06:09+0000","Radnor","PA","19087","US","DE",2019-06-28
"45107287","PA776","https://www.petfinder.com/dog/sweet-pea-45107287/pa/chalfont/tiny-miracles-rescue-pa776/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chihuahua",NA,FALSE,"FALSE","Golden",NA,NA,"Senior","Female","Small","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,TRUE,"Sweet Pea","Sweet Pea is a senior Chihuahua rescued from an Oklahoma kill-facility by Tiny Miracles Rescue, with her pal Thomas.   Sweet...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107287/1/?bust=1561736342","adoptable","2019-06-28T15:39:55+0000","Chalfont","PA","18914","US","DE",2019-06-28
"45107226","MD81","https://www.petfinder.com/dog/lio-45107226/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Pit Bull Terrier",TRUE,"FALSE","Black","White / Cream",NA,"Young","Male","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,"Lio",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107226/1/?bust=1561735569","adoptable","2019-06-28T15:26:20+0000","Queenstown","MD","21658","US","DE",2019-06-28
"45107212","MD81","https://www.petfinder.com/dog/bailey-45107212/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Pit Bull Terrier",TRUE,"FALSE","White / Cream","Yellow / Tan / Blond / Fawn",NA,"Senior","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,"Bailey",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107212/1/?bust=1561735309","adoptable","2019-06-28T15:21:58+0000","Queenstown","MD","21658","US","DE",2019-06-28
"45107197","MD81","https://www.petfinder.com/dog/oscar-45107197/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Boxer","German Shepherd Dog",TRUE,"FALSE","Apricot / Beige","Black","White / Cream","Adult","Male","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,"Oscar",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107197/1/?bust=1561735133","adoptable","2019-06-28T15:19:05+0000","Queenstown","MD","21658","US","DE",2019-06-28
"45107180","MD81","https://www.petfinder.com/dog/jax-45107180/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","Black","White / Cream",NA,"Adult","Male","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Jax",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107180/1/?bust=1561734935","adoptable","2019-06-28T15:15:49+0000","Queenstown","MD","21658","US","DE",2019-06-28
"45107159","MD81","https://www.petfinder.com/dog/miss-piggy-45107159/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shar-Pei","Pit Bull Terrier",TRUE,"FALSE","Apricot / Beige","Black",NA,"Young","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Miss Piggy",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107159/1/?bust=1561734769","adoptable","2019-06-28T15:13:09+0000","Queenstown","MD","21658","US","DE",2019-06-28
"45107148","PA776","https://www.petfinder.com/dog/thomas-45107148/pa/chalfont/tiny-miracles-rescue-pa776/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chihuahua",NA,FALSE,"FALSE","Black",NA,NA,"Senior","Male","Small","Short",TRUE,TRUE,NA,FALSE,FALSE,NA,TRUE,TRUE,"Thomas","Thomas is senior Chihuahua rescued from an Oklahoma kill-facility by Tiny Miracles Rescue. Thomas weighs in at just 7.5 lbs....","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107148/1/?bust=1561734516","adoptable","2019-06-28T15:09:24+0000","Chalfont","PA","18914","US","DE",2019-06-28
"45107064","MD81","https://www.petfinder.com/dog/banjo-45107064/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle",NA,TRUE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Young","Male","Medium","Medium",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Banjo",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107064/1/?bust=1561733454","adoptable","2019-06-28T14:51:21+0000","Queenstown","MD","21658","US","DE",2019-06-28
"45107042","MD81","https://www.petfinder.com/dog/harlie-45107042/md/queenstown/animal-welfare-league-of-queen-annes-county-md81/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Pointer",TRUE,"FALSE","Black","White / Cream",NA,"Young","Female","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,"Harlie",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107042/1/?bust=1561733330","adoptable","2019-06-28T14:49:01+0000","Queenstown","MD","21658","US","DE",2019-06-28
