"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45107363","VA68","https://www.petfinder.com/dog/nina-45107363/va/chesterfield/chesterfield-county-animal-services-va68/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","White / Cream","Yellow / Tan / Blond / Fawn",NA,"Adult","Female","Medium","Short",TRUE,TRUE,NA,FALSE,FALSE,NA,NA,NA,"Nina","Here we have Nina! She is a tan and white Pitbull with the most gorgeous brown eyes! If you are...","loving|affectionate|sit|down|come|speak|tricks","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107363/1/?bust=1561737459","adoptable","2019-06-28T15:58:56+0000","Chesterfield","VA","23832","US","VA",2019-06-28
"45107332","VA68","https://www.petfinder.com/dog/pedro-45107332/va/chesterfield/chesterfield-county-animal-services-va68/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chihuahua",NA,TRUE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Adult","Male","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Pedro","Hi, I&#039;m Pedro! I am a handsome Chihuahua mix and I am about 5 years old. I am an active...","sit|shake|down|rollover|playful","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107332/2/?bust=1561736968","adoptable","2019-06-28T15:54:30+0000","Chesterfield","VA","23832","US","VA",2019-06-28
"45107248","VA68","https://www.petfinder.com/dog/ranger-45107248/va/chesterfield/chesterfield-county-animal-services-va68/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","Brindle",NA,NA,"Adult","Male","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,"Ranger","This good looking guy is Ranger! He is a lovable boy who just wants to go on his next adventure...","lovable|adventerous|sweet","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107248/1/?bust=1561735772","adoptable","2019-06-28T15:30:43+0000","Chesterfield","VA","23832","US","VA",2019-06-28
"45107221","VA68","https://www.petfinder.com/dog/cayman-45107221/va/chesterfield/chesterfield-county-animal-services-va68/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","Black","White / Cream",NA,"Adult","Male","Large","Short",FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,"Cayman","Cayman says hello! He can be slightly timid at first, but once he gets used to you he is very...","timid|loving|playful","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107221/1/?bust=1561735447","adoptable","2019-06-28T15:25:33+0000","Chesterfield","VA","23832","US","VA",2019-06-28
"45107147","VA119","https://www.petfinder.com/dog/shadow-45107147/va/richmond/fetch-a-cure-va119/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Pit Bull Terrier",TRUE,"FALSE","Black",NA,NA,"Young","Male","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,TRUE,"Shadow","Meet Shadow! This sweet 1 year old boy is ready to be back in a home. Shadow is 42 lbs...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107147/2/?bust=1561734633","adoptable","2019-06-28T15:17:10+0000","Richmond","VA","23228","US","VA",2019-06-28
"45107112","VA675","https://www.petfinder.com/dog/ava-45107112/va/williamsburg/homes-fur-hounds-inc-va675/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chihuahua",NA,FALSE,"FALSE","Bicolor",NA,NA,"Young","Female","Small","Long",TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,NA,"Ava","Everyone meet Ava.

Ava came from the shelter where she was very frightened and hid in the back of the...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107112/1/?bust=1561733989","adoptable","2019-06-28T15:00:53+0000","Williamsburg","VA","23185","US","VA",2019-06-28
"45106935","VA675","https://www.petfinder.com/dog/lady-45106935/va/williamsburg/homes-fur-hounds-inc-va675/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Coonhound",NA,FALSE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Adult","Female","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Lady","COURTESY POST

Please share and help this sweet girl find a home.

Lady is 4 years old, spayed, and up...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106935/1/?bust=1561731553","adoptable","2019-06-28T14:19:47+0000","Williamsburg","VA","23185","US","VA",2019-06-28
"45106631","VA226","https://www.petfinder.com/dog/scarlett-45106631/va/onley/spca-eastern-shore-inc-va226/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shih Tzu",NA,FALSE,"FALSE","Black","White / Cream",NA,"Senior","Female","Small","Long",TRUE,FALSE,NA,FALSE,TRUE,FALSE,NA,NA,"Scarlett","Hi, I&#039;m Scarlett and I&#039;m a fiesty little gal. I&#039;m definitely a senior, maybe 10 years old or older. I&#039;m...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106631/1/?bust=1561721157","adoptable","2019-06-28T11:41:29+0000","Onley","VA","23418","US","VA",2019-06-28
"45106335","VA584","https://www.petfinder.com/dog/milo-45106335/va/chesterfield/k9-rescue-of-va-va584/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Hound",NA,FALSE,"FALSE","Bicolor",NA,NA,"Young","Male","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,NA,"Milo","Milo is an approx 1 year old very sweet hound.  He is crate trained and housetrained.  Loves other dogs so...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106335/1/?bust=1561691094","adoptable","2019-06-28T03:09:56+0000","Chesterfield","VA","23832","US","VA",2019-06-28
"45106128","VA776","https://www.petfinder.com/dog/vena-45106128/va/louisa/animal-care-assistance-program-acap-va776/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle","Mixed Breed",TRUE,"FALSE","Brindle",NA,NA,"Adult","Female","Small","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Vena","How can two sisters be so alike, yet so different? How can one be the cheerleader while the other is...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106128/1/?bust=1561685838","adoptable","2019-06-28T02:03:40+0000","Louisa","VA","23093","US","VA",2019-06-28
"45106050","VA776","https://www.petfinder.com/dog/sapphire-45106050/va/louisa/animal-care-assistance-program-acap-va776/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle","Mixed Breed",TRUE,"FALSE","Brindle",NA,NA,"Adult","Female","Small","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Sapphire","ACAP would like to introduce to your our very own Miss Hollywood Sapphire! Sapphire&#039;s bling and future is so bright...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106050/1/?bust=1561684285","adoptable","2019-06-28T01:33:10+0000","Louisa","VA","23093","US","VA",2019-06-28
"45105871","VA554","https://www.petfinder.com/dog/lil-dill-45105871/va/alexandria/dog-world-rescue-inc-va554/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Parson Russell Terrier",NA,TRUE,"FALSE","Black","White / Cream",NA,"Senior","Male","Small","Short",FALSE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,NA,"Lil' Dill","We rescued Lil&#039; Dill from a high kill shelter in NC.  He was owner surrendered after 10 years of living...","Loving|snuggly","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105871/1/?bust=1561680070","adoptable","2019-06-28T00:05:32+0000","Alexandria","VA","22312","US","VA",2019-06-28
"45105736","VA629","https://www.petfinder.com/dog/arthur-45105736/va/fredericksburg/old-dominion-humane-society-va629/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,TRUE,"FALSE","Black","White / Cream",NA,"Young","Male","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,"Arthur","Hello! I&#039;m new to ODHS! Stay tuned and they will update my profile as they learn more. I am all...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105736/1/?bust=1561676468","adoptable","2019-06-27T22:55:59+0000","Fredericksburg","VA","22408","US","VA",2019-06-28
