"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45106324","OR13","https://www.petfinder.com/dog/lou-lou-45106324/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,FALSE,"FALSE","Golden","White / Cream","Yellow / Tan / Blond / Fawn","Adult","Female","Medium","Long",TRUE,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,"Lou Lou","Lou Lou came to us as a transfer and we weren&#039;t given too much information about her.  It was obvious...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106324/1/?bust=1561690728","adoptable","2019-06-28T03:06:02+0000","Madras","OR","97741","US","OR",2019-06-28
"45106306","OR13","https://www.petfinder.com/dog/tuna-45106306/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pug","Mixed Breed",TRUE,"FALSE","Black","Golden","Yellow / Tan / Blond / Fawn","Baby","Male","Small","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Tuna","Darling Tuna came to us as a sick pup and we lovingly brought him to complete health and happiness!  He...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106306/1/?bust=1561690217","adoptable","2019-06-28T02:53:52+0000","Madras","OR","97741","US","OR",2019-06-28
"45106280","OR13","https://www.petfinder.com/dog/brew-45106280/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,FALSE,"FALSE","Golden","White / Cream","Yellow / Tan / Blond / Fawn","Adult","Male","Large","Medium",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,"Brew","Brew came to us as a transfer from a Washington rescue where he was surrendered by his owners.  Although we...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106280/1/?bust=1561689756","adoptable","2019-06-28T02:48:52+0000","Madras","OR","97741","US","OR",2019-06-28
"45106254","OR13","https://www.petfinder.com/dog/calista-45106254/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shepherd","Mixed Breed",TRUE,"FALSE","Black","White / Cream","Yellow / Tan / Blond / Fawn","Young","Female","Medium","Medium",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,"Calista","Calista came to us as a transfer from a Washington rescue.  She is such a friendly, outgoing, and energetic young...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106254/1/?bust=1561689004","adoptable","2019-06-28T02:38:33+0000","Madras","OR","97741","US","OR",2019-06-28
"45106242","OR13","https://www.petfinder.com/dog/sheila-45106242/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","American Staffordshire Terrier",NA,FALSE,"FALSE","Gray / Blue / Silver","White / Cream",NA,"Young","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Sheila","Sheila came to us as a stray and wasnt claimed by an owner.  She is about 1.5 years old and...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106242/1/?bust=1561688349","adoptable","2019-06-28T02:24:29+0000","Madras","OR","97741","US","OR",2019-06-28
"45106216","OR13","https://www.petfinder.com/dog/izzy-45106216/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,FALSE,"FALSE","Black","White / Cream",NA,"Adult","Female","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,"Izzy","Izzy and her furry roommate Lotto came to us as owner surrenders.  The owner said she needed to move and...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106216/1/?bust=1561687934","adoptable","2019-06-28T02:18:04+0000","Madras","OR","97741","US","OR",2019-06-28
"45106193","OR13","https://www.petfinder.com/dog/lotto-45106193/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Dachshund","Black Labrador Retriever",TRUE,"FALSE","Black",NA,NA,"Adult","Male","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,"Lotto","Lotto is a delightful adult that came in with his roommate, Izzy as owner surrender.  Their owner said that she...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106193/1/?bust=1561687439","adoptable","2019-06-28T02:09:21+0000","Madras","OR","97741","US","OR",2019-06-28
"45106175","OR13","https://www.petfinder.com/dog/cobalt-45106175/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Hound","Black Labrador Retriever",TRUE,"FALSE","Black","White / Cream",NA,"Young","Male","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,"Cobalt","Cobalt came to us as a stray, and at 2 years old, we dont know what his background was, but...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106175/1/?bust=1561687016","adoptable","2019-06-28T02:00:31+0000","Madras","OR","97741","US","OR",2019-06-28
"45106062","OR13","https://www.petfinder.com/dog/griffey-45106062/or/madras/three-rivers-humane-society-or13/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shepherd","Mixed Breed",TRUE,"FALSE","Black","Brown / Chocolate","Golden","Adult","Male","Large","Medium",TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,"Griffey","Griffey was adopted from us as a young pup and yesterday came back to us as an owner surrender.  Although...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106062/1/?bust=1561684581","adoptable","2019-06-28T01:55:07+0000","Madras","OR","97741","US","OR",2019-06-28
"45096810","OR312","https://www.petfinder.com/dog/roscoe-45096810/or/bend/herd-u-needed-a-home-rescue-or312/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Australian Cattle Dog / Blue Heeler",NA,TRUE,"FALSE",NA,NA,NA,"Adult","Male","Medium","Short",TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,NA,"Roscoe","Roscoe is a handsome and happy tri-color blue heeler mix.  He is almost 3 years old.  He is crate-trained and...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45096810/1/?bust=1561650174","adoptable","2019-06-27T15:44:35+0000","Bend","OR","97702","US","OR",2019-06-28
