"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45106797","NY106","https://www.petfinder.com/dog/eddie-45106797/ny/binghamton/broome-county-dog-shelter-ny106/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","Gray / Blue / Silver","White / Cream",NA,"Young","Male","Large","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Eddie","Eddie!! Get this happy face into your life ASAP. Eddie is a 1 year old Pit mix and is always...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106797/1/?bust=1561728138","adoptable","2019-06-28T13:22:54+0000","Binghamton","NY","13905","US","NY",2019-06-28
"45106786","NY106","https://www.petfinder.com/dog/moochie-45106786/ny/binghamton/broome-county-dog-shelter-ny106/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier","Boxer",TRUE,"FALSE","Brindle","White / Cream",NA,"Adult","Male","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Moochie","Moochie... (who remembers the original Moochie?) is a 3-4 year old smallish Pit mix with a marvelous personality. He is...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106786/1/?bust=1561727766","adoptable","2019-06-28T13:20:54+0000","Binghamton","NY","13905","US","NY",2019-06-28
"45106028","NY51","https://www.petfinder.com/dog/luna-45106028/ny/delhi/heart-of-the-catskills-humane-society-ny51/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,FALSE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Young","Female","Small","Short",FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,"Luna","Luna is a friendly, playful, lap dog. She is 2 years old. She only gets along with dogs of her...","NA",NA,"adoptable","2019-06-28T01:01:55+0000","Delhi","NY","13753","US","NY",2019-06-28
"45103636","NY870","https://www.petfinder.com/dog/lillie-45103636/ny/dewitt/helping-hounds-dog-rescue-inc-ny870/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Hound",NA,TRUE,"FALSE",NA,NA,NA,"Young","Female","Medium",NA,TRUE,TRUE,NA,FALSE,TRUE,NA,NA,NA,"Lillie","Arriving September 22, 2018 Lillie is an adorable dog who just wants someone to love and hold her. She is...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45103636/1/?bust=1561690972","adoptable","2019-06-27T20:59:09+0000","Dewitt","NY","13214","US","NY",2019-06-28
"45103312","NY71","https://www.petfinder.com/dog/tank-45103312/ny/binghamton/the-humane-society-ny71/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,FALSE,"FALSE",NA,NA,NA,"Adult","Male","Large",NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Tank",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45103312/1/?bust=1561677732","adoptable","2019-06-27T20:51:01+0000","Binghamton","NY","13903","US","NY",2019-06-28
"45103314","NY71","https://www.petfinder.com/dog/blue-45103314/ny/binghamton/the-humane-society-ny71/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Mixed Breed",TRUE,"FALSE",NA,NA,NA,"Baby","Male","Medium",NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Blue",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45103314/1/?bust=1561677734","adoptable","2019-06-27T20:51:01+0000","Binghamton","NY","13903","US","NY",2019-06-28
"45100563","NY494","https://www.petfinder.com/dog/zelda-45100563/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Boxer","Pit Bull Terrier",TRUE,"FALSE",NA,NA,NA,"Young","Female","Medium",NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Zelda","If you are looking to adopt a young, energetic, lover girl, come meet Zelda. She is 6 months old, weighs...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45100563/1/?bust=1561680002","adoptable","2019-06-27T19:43:32+0000","Fairport","NY","14450","US","NY",2019-06-28
"45100551","NY494","https://www.petfinder.com/dog/biggie-smalls-45100551/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chihuahua","Mixed Breed",TRUE,"FALSE",NA,NA,NA,"Baby","Male","Small",NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Biggie Smalls",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45100551/1/?bust=1561680005","adoptable","2019-06-27T19:43:32+0000","Fairport","NY","14450","US","NY",2019-06-28
"45097429","NY237","https://www.petfinder.com/dog/cooper-45097429/ny/sidney/delaware-valley-humane-society-ny237/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","American Bulldog","Labrador Retriever",TRUE,"FALSE",NA,NA,NA,"Adult","Male","Large","Medium",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,"Cooper",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45097429/1/?bust=1561659016","adoptable","2019-06-27T18:10:39+0000","Sidney","NY","13838","US","NY",2019-06-28
"45097209","PA19","https://www.petfinder.com/dog/remi-45097209/pa/ulster/bradford-county-humane-society-pa19/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Brittany Spaniel","Pit Bull Terrier",TRUE,"FALSE","White / Cream","Yellow / Tan / Blond / Fawn",NA,"Adult","Male","Large","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,"Remi","Hello, my name is Remi! I am a 2 year old neutered male that arrived at the shelter on 6/21/19....","Loving|Sweet|Active","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45097209/5/?bust=1561656396","adoptable","2019-06-27T17:25:01+0000","Ulster","PA","18850","US","NY",2019-06-28
