"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45106759","GA232","https://www.petfinder.com/dog/abbie-45106759/ga/monroe/walton-county-animal-control-ga232/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Chihuahua",NA,FALSE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Senior","Female","Small","Short",TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Abbie","&quot;Abbie&quot; was surrendered by her owner on 6/20/19. She was in shock in the shelter and wouldn&#039;t let us hold...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106759/1/?bust=1561726810","adoptable","2019-06-28T13:00:26+0000","Monroe","GA","30655","US","GA",2019-06-28
"45106747","GA232","https://www.petfinder.com/dog/george-number-1468-45106747/ga/monroe/walton-county-animal-control-ga232/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Yorkshire Terrier","Terrier",TRUE,"FALSE","Golden",NA,NA,"Adult","Male","Small","Medium",FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"George #1468","See www.waltonpets.net for more info, current status, and adoption application.","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106747/1/?bust=1561726435","adoptable","2019-06-28T12:54:17+0000","Monroe","GA","30655","US","GA",2019-06-28
"45106745","GA232","https://www.petfinder.com/dog/watts-45106745/ga/monroe/walton-county-animal-control-ga232/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,FALSE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Adult","Male","Large","Short",FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Watts","See www.waltonpets.net for more info, current status, and adoption application.","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106745/1/?bust=1561726373","adoptable","2019-06-28T12:53:04+0000","Monroe","GA","30655","US","GA",2019-06-28
"45106742","GA232","https://www.petfinder.com/dog/volt-45106742/ga/monroe/walton-county-animal-control-ga232/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Dalmatian","Mixed Breed",TRUE,"FALSE",NA,NA,NA,"Young","Male","Large","Medium",FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,"Volt","Volt is a cute pup. He is social and friendly. He is on the submissive side when handled and interacting...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106742/1/?bust=1561726280","adoptable","2019-06-28T12:52:06+0000","Monroe","GA","30655","US","GA",2019-06-28
"45106067","GA929","https://www.petfinder.com/dog/rambo-45106067/ga/snellville/georgia-akita-rescue-division-ga929/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Akita",NA,FALSE,"FALSE","Bicolor",NA,NA,"Adult","Male","Extra Large","Medium",TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,"Rambo","* BREED EXPERIENCE REQUIRED *

Rambo is a very big strong Akita. He is neutered and current on vaccs. He...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106067/3/?bust=1561684697","adoptable","2019-06-28T01:19:43+0000","Snellville","GA","30039","US","GA",2019-06-28
"45105534","GA862","https://www.petfinder.com/dog/jasper-45105534/ga/athens/athenspets-ga862/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Mixed Breed",NA,FALSE,"FALSE",NA,NA,NA,"Adult","Male","Medium",NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"Jasper","Why Choose Me?

**$400 in sponsorship funds available to rescue group!**

Medical case - rescue only

Update 6/10: A boy...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45105534/1/?bust=1561672583","adoptable","2019-06-27T22:00:51+0000","Athens","GA","30605","US","GA",2019-06-28
"45104044","GA553","https://www.petfinder.com/dog/leonard-45104044/ga/warner-robins/humane-society-of-houston-county-inc-ga553/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Dachshund","Pug",TRUE,"FALSE","Bicolor","Black","Brown / Chocolate","Baby","Male","Small","Short",FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Leonard","Thank you for your interest in one of our doggies. Please visit our website at humanesocietyhoco.org and fill out an...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45104044/1/?bust=1561669838","adoptable","2019-06-27T21:11:08+0000","Warner Robins","GA","31095","US","GA",2019-06-28
"45103829","GA553","https://www.petfinder.com/dog/penny-45103829/ga/warner-robins/humane-society-of-houston-county-inc-ga553/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Dachshund","Pug",TRUE,"FALSE","Black",NA,NA,"Baby","Female","Small","Short",FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Penny","Thank you for your interest in one of our doggies. Please visit our website at humanesocietyhoco.org and fill out an...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45103829/1/?bust=1561669707","adoptable","2019-06-27T21:09:13+0000","Warner Robins","GA","31095","US","GA",2019-06-28
"45102979","GA956","https://www.petfinder.com/dog/ariel-45102979/ga/madison/morgan-county-animal-control-ga956/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Mixed Breed",TRUE,"FALSE","Black","White / Cream",NA,"Adult","Female","Medium","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Ariel","Ariel is a lab mix with the best personality. She does not meet a stranger, is well behaved and gets...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45102979/1/?bust=1561668240","adoptable","2019-06-27T21:06:26+0000","Madison","GA","30650","US","GA",2019-06-28
"45103622","GA99","https://www.petfinder.com/dog/cara-45103622/ga/macon/macon-bibb-county-animal-welfare-ga99/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier","Mixed Breed",TRUE,"FALSE",NA,NA,NA,"Young","Female","Large",NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,"CARA",NA,"NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45103622/1/?bust=1561675630","adoptable","2019-06-27T20:58:27+0000","Macon","GA","31201","US","GA",2019-06-28
