"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45077405","SD14","https://www.petfinder.com/dog/daisy-45077405/sd/huron/beadle-county-humane-society-sd14/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pomeranian","Poodle",TRUE,"FALSE","Apricot / Beige","White / Cream",NA,"Adult","Female","Small","Medium",TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,NA,"Daisy","Daisy came to us as her owner is moving and can&#039;t keep her. She is a 1 year old spayed...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45077405/1/?bust=1561496606","adoptable","2019-06-25T14:05:04+0000","Huron","SD","57350","US","SD",2019-06-28
"44908101","SD07","https://www.petfinder.com/dog/popeye-44908101/sd/pierre/paws-animal-rescue-sd07/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","Bicolor","Brown / Chocolate","White / Cream","Young","Male","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Popeye","Popeye is a timid dog as he adjusts to the shelter. He will need a reassuring owner that will be...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44908101/1/?bust=1559948384","adoptable","2019-06-07T23:04:53+0000","Pierre","SD","57501","US","SD",2019-06-28
"44895679","SD14","https://www.petfinder.com/dog/chief-44895679/sd/huron/beadle-county-humane-society-sd14/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever",NA,FALSE,"FALSE","Black",NA,NA,"Senior","Male","Extra Large","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,TRUE,"Chief","Chief came to us when his owner went into the hospital and will now be going into a nursing home....","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44895679/1/?bust=1559852666","adoptable","2019-06-06T17:44:24+0000","Huron","SD","57350","US","SD",2019-06-28
"44895508","SD14","https://www.petfinder.com/dog/maggie-44895508/sd/huron/beadle-county-humane-society-sd14/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Boxer",NA,TRUE,"FALSE","Brindle",NA,NA,"Adult","Female","Large","Short",FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Maggie","Maggie came in as a stray and is ready for a new home. She is an adult possibly Boxer mixbreed...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44895508/1/?bust=1559852752","adoptable","2019-06-06T16:03:46+0000","Huron","SD","57350","US","SD",2019-06-28
"44895480","SD14","https://www.petfinder.com/dog/spike-44895480/sd/huron/beadle-county-humane-society-sd14/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Pit Bull Terrier",TRUE,"FALSE","Black","White / Cream",NA,"Adult","Male","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Spike","Spike was picked up running at large and is ready for a new home. He is about 1-2 yrs. old...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44895480/1/?bust=1559925507","adoptable","2019-06-06T15:55:29+0000","Huron","SD","57350","US","SD",2019-06-28
"44636457","SD14","https://www.petfinder.com/dog/joan-44636457/sd/huron/beadle-county-humane-society-sd14/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Anatolian Shepherd","Great Pyrenees",TRUE,"FALSE","White / Cream",NA,NA,"Adult","Female","Extra Large","Medium",TRUE,FALSE,NA,FALSE,TRUE,TRUE,NA,FALSE,"Joan","Joan came to us because she is too much for the younger members of her household. She is a 1-1/2...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44636457/1/?bust=1557513589","adoptable","2019-05-07T19:21:07+0000","Huron","SD","57350","US","SD",2019-06-28
"44573550","SD14","https://www.petfinder.com/dog/kage-44573550/sd/huron/beadle-county-humane-society-sd14/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever",NA,TRUE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Adult","Male","Large","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Kage","Kage came to us because his owner is moving and unable to take him with. He is a 7 year...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44573550/1/?bust=1556652625","adoptable","2019-04-29T19:43:50+0000","Huron","SD","57350","US","SD",2019-06-28
"44260882","SD07","https://www.petfinder.com/dog/bronson-44260882/sd/pierre/paws-animal-rescue-sd07/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,FALSE,"FALSE","Black","White / Cream",NA,"Young","Male","Medium",NA,TRUE,TRUE,NA,FALSE,FALSE,NA,NA,NA,"Bronson","Bronson is a one year old male pit mix. He is very playful and has energy to burn! However, after...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44260882/1/?bust=1552965381","adoptable","2019-03-19T03:16:52+0000","Pierre","SD","57501","US","SD",2019-06-28
"44041623","SD07","https://www.petfinder.com/dog/bronx-44041623/sd/pierre/paws-animal-rescue-sd07/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Border Collie",NA,TRUE,"FALSE","Black",NA,NA,"Adult","Male","Medium","Medium",TRUE,TRUE,NA,FALSE,FALSE,NA,NA,NA,"Bronx","Bronx is a neutered 5 year old Border Collie mix. He is an absolute cuddle bug and loves affection!","Very sweet","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44041623/1/?bust=1552965673","adoptable","2019-02-18T01:42:20+0000","Pierre","SD","57501","US","SD",2019-06-28
"43987547","SD07","https://www.petfinder.com/dog/harley-43987547/sd/pierre/paws-animal-rescue-sd07/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","German Shepherd Dog",NA,TRUE,"FALSE","Bicolor",NA,NA,"Adult","Male","Large","Medium",TRUE,TRUE,NA,FALSE,FALSE,NA,NA,NA,"Harley","Harley is a one year old male shepherd mix. He is SUPER friendly and playful. He will require an active,...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/43987547/1/?bust=1552966119","adoptable","2019-02-11T01:09:03+0000","Pierre","SD","57501","US","SD",2019-06-28
