"id","org_id","url","type","species","breed_primary","breed_secondary","breed_mixed","breed_unknown","color_primary","color_secondary","color_tertiary","age","sex","size","coat","fixed","house_trained","declawed","special_needs","shots_current","env_children","env_dogs","env_cats","name","description","tags","photo","status","posted","contact_city","contact_state","contact_zip","contact_country","stateQ","accessed"
"45107377","NC464","https://www.petfinder.com/dog/harley-45107377/nc/elizabethtown/bladen-county-animal-shelter-nc464/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Terrier",NA,TRUE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Adult","Female","Medium","Short",FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Harley","Harley is a 3 yr old terrier mix girl who just wants to be someone&#039;s special dog.
Please don&#039;t leave...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107377/1/?bust=1561737626","adoptable","2019-06-28T16:01:18+0000","Elizabethtown","NC","28337","US","NC",2019-06-28
"45107364","NC464","https://www.petfinder.com/dog/gee-45107364/nc/elizabethtown/bladen-county-animal-shelter-nc464/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Labrador Retriever","Terrier",TRUE,"FALSE","Brindle",NA,NA,"Young","Male","Medium","Medium",FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Gee","Gee is a good natured dog who just wants a home of his own.
Please don&#039;t leave him in the...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107364/1/?bust=1561737437","adoptable","2019-06-28T15:58:28+0000","Elizabethtown","NC","28337","US","NC",2019-06-28
"45107309","NC935","https://www.petfinder.com/dog/dottie-45107309/nc/clayton/red-barn-rescue-nc935/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier",NA,TRUE,"FALSE","White / Cream",NA,NA,"Adult","Female","Medium","Short",TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,"Dottie","Dottie is what we call a &quot;pocket pittie&quot;. All the kisses, cuddles and love of a full size pittie in...","playful|affectionate","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107309/3/?bust=1561736888","adoptable","2019-06-28T15:48:34+0000","Clayton","NC","27520","US","NC",2019-06-28
"45095303","NC716","https://www.petfinder.com/dog/pepper-potts-45095303/nc/raleigh/love-mutts-rescue-inc-nc716/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle",NA,TRUE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Adult","Female","Small","Short",TRUE,FALSE,NA,FALSE,FALSE,NA,TRUE,NA,"Pepper Potts","Peter Quill is 15 lbs....so cute, sweet...strays in VA...he &amp; Pepper Potts, 25 lbs were brought in to vet due...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45095303/1/?bust=1561597844","adoptable","2019-06-28T15:44:37+0000","Raleigh","NC","27675","US","NC",2019-06-28
"45095291","NC716","https://www.petfinder.com/dog/peter-quill-45095291/nc/raleigh/love-mutts-rescue-inc-nc716/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle",NA,TRUE,"FALSE","Black","White / Cream",NA,"Young","Male","Small","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,"Peter Quill","Peter Quill is 15 lbs....so cute, sweet...strays in VA...he &amp; Pepper Potts, 25 lbs were brought in to vet due...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45095291/1/?bust=1561597679","adoptable","2019-06-28T15:43:06+0000","Raleigh","NC","27675","US","NC",2019-06-28
"45107259","NC87","https://www.petfinder.com/dog/brutus-courtesy-listing-only-he-is-not-at-our-shelter-45107259/nc/carthage/moore-humane-society-nc87/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Pit Bull Terrier","Boxer",TRUE,"FALSE","White / Cream","Yellow / Tan / Blond / Fawn",NA,"Adult","Male","Large","Short",TRUE,FALSE,NA,FALSE,TRUE,NA,FALSE,FALSE,"Brutus- COURTESY LISTING ONLY (He is not at our shelter)","BRUTUS IS A COURTESY LISTING AND IS NOT CURRENTLY AT OUR SHELTER.  IF INTERESTED IN LEARNING MORE ABOUT HIM, PLEASE...","stong|active|loving|sweet","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107259/1/?bust=1561735975","adoptable","2019-06-28T15:40:04+0000","Carthage","NC","28327","US","NC",2019-06-28
"45107196","NC1049","https://www.petfinder.com/dog/jelly-donut-45107196/nc/whitsett/jans-animal-rescue-nc1049/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle",NA,FALSE,"FALSE","Tricolor (Brown, Black, & White)",NA,NA,"Adult","Female","Small","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Jelly Donut","One reason why Jelly Donut got her name is because she is just so very Sweet!  She is only about...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107196/1/?bust=1561736416","adoptable","2019-06-28T15:21:09+0000","Whitsett","NC","27377","US","NC",2019-06-28
"45107171","NC1049","https://www.petfinder.com/dog/fiona-45107171/nc/whitsett/jans-animal-rescue-nc1049/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Beagle",NA,FALSE,"FALSE","Red / Chestnut / Orange","White / Cream",NA,"Adult","Female","Small","Short",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"Fiona","Fiona is Adorable.  That is the first word that will come to mind when you meet this super sweet little...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107171/1/?bust=1561736343","adoptable","2019-06-28T15:16:51+0000","Whitsett","NC","27377","US","NC",2019-06-28
"45107129","NC209","https://www.petfinder.com/dog/hunter-45107129/nc/mount-airy/surry-animal-rescue-nc209/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Shetland Sheepdog / Sheltie","Terrier",TRUE,"FALSE","Yellow / Tan / Blond / Fawn",NA,NA,"Adult","Male","Small","Long",TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,NA,"Hunter","Hunter is a 3 year old Sheltie/Terrier mix, he only weighs 18 pounds.  Hunter is very shy when you first...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45107129/1/?bust=1561734318","adoptable","2019-06-28T15:06:53+0000","Mount Airy","NC","27030","US","NC",2019-06-28
"45106784","NC823","https://www.petfinder.com/dog/cricket-45106784/nc/winston-salem/stepping-stones-canine-rescue-nc823/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669","Dog","Dog","Boxer","Plott Hound",TRUE,"FALSE","Brindle","White / Cream",NA,"Young","Female","Medium",NA,TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,NA,"Cricket","Meet Cricket!  This sweet girl was found as a stray, but her owners never claimed her.  We believe that she...","NA","https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45106784/3/?bust=1561729444","adoptable","2019-06-28T13:54:10+0000","Winston-Salem","NC","27101","US","NC",2019-06-28
