"doc_id","text","ent_type","start_id","length","id"
"text1","New Mexico","GPE",7,2,"44752277"
"text1","Boise","GPE",6,1,"44752210"
"text1","Idaho","GPE",8,1,"44752210"
"text1","Arizona","GPE",5,1,"44752203"
"text1","Arizona","GPE",5,1,"44752255"
"text1","Wisconsin","GPE",6,1,"44752252"
"text1","Los Angeles","GPE",5,2,"44752187"
"text1","Utah","GPE",3,1,"44752147"
"text1","New Mexico","GPE",5,2,"44752224"
"text1","South Korea","GPE",2,2,"45642530"
"text1","Order","GPE",14,1,"45642530"
"text1","Vegas","GPE",2,1,"45642530"
"text1","Reno","GPE",5,1,"45642530"
"text1","Mina","GPE",8,1,"27940330"
"text1","Sacramento","GPE",2,1,"46038223"
"text1","Sacramento","GPE",2,1,"46028332"
"text1","Sacramento","GPE",2,1,"46028331"
"text1","Sacramento","GPE",2,1,"45946128"
"text1","Roseville","GPE",6,1,"45753667"
"text1","Mexico","GPE",2,1,"42717389"
"text1","LA","GPE",5,1,"27045865"
"text1","Sacramento","GPE",5,1,"45273855"
"text1","Alabama","GPE",2,1,"45987719"
"text1","Alabama","GPE",2,1,"45943086"
"text1","Alabama","GPE",2,1,"45942459"
"text1","Alabama","GPE",2,1,"45942229"
"text1","Alabama","GPE",2,1,"45941983"
"text1","Alabama","GPE",2,1,"45898359"
"text1","Doggie","GPE",9,1,"45893442"
"text1","Alabama","GPE",2,1,"45886372"
"text1","Alabama","GPE",2,1,"45886371"
"text1","Coast","GPE",3,1,"45866516"
"text1","Alabama","GPE",2,1,"45864590"
"text1","Alabama","GPE",2,1,"45863153"
"text1","Alabama","GPE",2,1,"45862971"
"text1","Alabama","GPE",2,1,"45852535"
"text1","Alabama","GPE",2,1,"45850607"
"text1","Alabama","GPE",2,1,"45800965"
"text1","Alabama","GPE",2,1,"45800836"
"text1","Alabama","GPE",2,1,"45795675"
"text1","Alabama","GPE",2,1,"45795582"
"text1","Alabama","GPE",2,1,"45795234"
"text1","Alabama","GPE",2,1,"45795234"
"text1","Alabama","GPE",2,1,"45767587"
"text1","Alabama","GPE",2,1,"45767425"
"text1","Veterinarian","GPE",3,1,"45763116"
"text1","Alabama","GPE",2,1,"45751466"
"text1","Alabama","GPE",2,1,"45735981"
"text1","Alabama","GPE",2,1,"45735025"
"text1","Veterinarian","GPE",3,1,"45676615"
"text1","Alabama","GPE",2,1,"45596728"
"text1","Alabama","GPE",2,1,"45583580"
"text1","Alabama","GPE",2,1,"45578504"
"text1","Alabama","GPE",2,1,"45571287"
"text1","Veterinarian","GPE",3,1,"45532544"
"text1","Veterinarian","GPE",3,1,"45523652"
"text1","Veterinarian","GPE",3,1,"45408411"
"text1","Alabama","GPE",2,1,"45403745"
"text1","Alabama","GPE",2,1,"45395917"
"text1","Alabama","GPE",2,1,"45395916"
"text1","Alabama","GPE",2,1,"45359510"
"text1","Alabama","GPE",2,1,"45348204"
"text1","Alabama","GPE",2,1,"45319796"
"text1","Alabama","GPE",2,1,"45307667"
"text1","Veterinarian","GPE",3,1,"45300758"
"text1","Veterinarian","GPE",3,1,"45300749"
"text1","Veterinarian","GPE",3,1,"45300757"
"text1","Veterinarian","GPE",3,1,"45300755"
"text1","Veterinarian","GPE",3,1,"45300762"
"text1","Veterinarian","GPE",3,1,"45279147"
"text1","Veterinarian","GPE",3,1,"45279150"
"text1","Veterinarian","GPE",3,1,"45279145"
"text1","Alabama","GPE",2,1,"45182453"
"text1","Alabama","GPE",2,1,"45182452"
"text1","Alabama","GPE",2,1,"45182449"
"text1","Alabama","GPE",2,1,"45168511"
"text1","Russell County","GPE",2,2,"45155721"
"text1","Alabama","GPE",2,1,"45123683"
"text1","Alabama","GPE",2,1,"45105047"
"text1","Alabama","GPE",2,1,"45094595"
"text1","Alabama","GPE",2,1,"45094582"
"text1","Alabama","GPE",2,1,"45014230"
"text1","Alabama","GPE",2,1,"45008032"
"text1","Alabama","GPE",2,1,"44821932"
"text1","Alabama","GPE",2,1,"44812223"
"text1","Alabama","GPE",2,1,"44429318"
"text1","Prison","GPE",4,1,"46004988"
"text1","Prison","GPE",4,1,"46004948"
"text1","Arkansas","GPE",3,1,"45760416"
"text1","Arkansas","GPE",4,1,"45759786"
"text1","Louisiana","GPE",2,1,"45560842"
"text1","Arkansas","GPE",6,1,"45560047"
"text1","Calico Rock","GPE",13,2,"45132907"
"text1","Arkansas","GPE",2,1,"37003305"
"text1","Clover","GPE",17,1,"46036925"
"text1","China","GPE",5,1,"46004187"
"text1","County","GPE",2,1,"45968186"
"text1","Tucson","GPE",3,1,"45967303"
